1 - SAM,2 - NAM,3 - Bering,4 - Japan
5 - China,6 - Philippine ,7 - NZ,8 - Indian
Time,SZ ID,Plate ID,Trench ID
0,1,911,201
0,1,911,2015
0,1,911,2000
10,1,911,201
10,1,911,2031
10,1,911,2015
20,1,911,201
20,1,911,2031
30,1,902,201
40,1,902,201
50,1,902,201
60,1,902,201
0,2,909,2000
0,2,909,101
0,2,970,101
0,2,903,101
10,2,909,2015
10,2,909,2000
10,2,909,101
10,2,970,101
10,2,901,101
10,2,903,101
20,2,902,2031
20,2,902,2015
20,2,902,2000
20,2,224,2000
20,2,902,101
20,2,902,105
20,2,903,101
30,2,902,2015
30,2,902,2000
30,2,902,101
30,2,902,105
30,2,903,101
30,2,902,2031
40,2,902,2031
40,2,902,2015
40,2,902,2000
40,2,902,101
40,2,903,101
50,2,902,2031
50,2,902,2015
50,2,902,2000
50,2,902,101
50,2,903,101
60,2,902,2031
60,2,902,2015
60,2,902,2000
60,2,902,101
0,3,901,111
10,3,901,111
20,3,901,111
30,3,901,111
40,3,901,111
50,3,918,111
50,3,901,111
60,3,918,182
60,3,918,301
60,3,901,301
0,4,901,413
0,4,901,406
0,4,901,662
10,4,901,406
10,4,901,413
10,4,901,662
20,4,901,413
20,4,901,406
20,4,901,662
30,4,901,413
30,4,901,406
30,4,901,662
40,4,901,406
40,4,901,662
50,4,901,406
50,4,901,662
50,4,901,648
60,4,926,301
60,4,926,662
60,4,926,648
0,5,901,659
0,5,901,699
0,5,674,699
10,5,901,659
10,5,901,699
10,5,901,610
20,5,901,659
20,5,901,610
20,5,653,610
30,5,901,659
30,5,901,610
30,5,653,610
40,5,901,659
50,5,901,659
0,6,659,662
0,6,608,662
0,6,608,648
10,6,659,662
10,6,608,662
10,6,608,648
20,6,659,662
20,6,608,662
20,6,608,648
30,6,608,662
30,6,608,648
40,6,609,662
40,6,609,648
50,6,609,648
0,7,901,821
0,7,901,806
10,7,801,821
10,7,901,821
10,7,901,806
20,7,901,827
20,7,901,821
20,7,901,823
30,7,901,821
30,7,901,823
40,7,901,821
40,7,901,823
0,8,501,686
0,8,511,686
0,8,511,736
0,8,801,736
10,8,501,686
10,8,511,686
10,8,511,736
10,8,801,736
20,8,801,736
20,8,511,736
20,8,511,686
20,8,501,686
30,8,801,686
30,8,801,736
40,8,801,67351
50,8,501,67351
50,8,801,67351
50,8,801,614
60,8,501,67351
60,8,501,614
60,8,801,614
60,8,780,614
0,9,697,830
0,9,829,830
0,9,697,847
0,9,849,847
0,9,829,847
0,9,801,847
0,9,801,827
0,9,901,821
0,9,901,806
10,9,849,847
10,9,801,847
10,9,801,827
10,9,901,821
10,9,901,806
20,9,901,847
20,9,901,827
20,9,901,821
20,9,901,823
30,9,901,847
30,9,901,821
30,9,901,823
40,9,901,847
40,9,901,821
40,9,901,823
50,9,901,847
50,9,801,844
60,9,901,847
60,9,901,872
60,9,901,841
60,9,901,943
60,9,901,865
